filename_a,split_a,filename_b,split_b,dhash_distance
20180109-102710-2.jpg,train,20180109-102721-2.jpg,validation,2
20180109-101318-2.jpg,train,20180109-101307-2.jpg,validation,2
20180119-113509-2.jpg,train,20180119-113519-2.jpg,validation,3
20171109-091719-3.jpg,train,20171109-091717-3.jpg,validation,1
20171109-180010-2.jpg,train,20171109-085101-2.jpg,validation,2
20180322-113208-2.jpg,train,20180322-113157-2.jpg,validation,1
20171121-074016-1.jpg,train,20171121-074015-1.jpg,validation,1
20180112-081011-2.jpg,train,20180112-081026-2.jpg,validation,4
20171220-093233-3.jpg,train,20171220-093220-3.jpg,validation,2
20180105-100302-3.jpg,train,20180105-100245-3.jpg,validation,1
20180322-102751-1.jpg,train,20180322-102858-1.jpg,validation,2
20180119-114015-2.jpg,train,20180119-114026-2.jpg,validation,1
20180105-093556-3.jpg,train,20180105-093543-3.jpg,validation,1
20180109-085954-2.jpg,train,20180109-090005-2.jpg,validation,2
20180112-093115-2.jpg,train,20180112-093104-2.jpg,validation,2
20171219-094201-2.jpg,train,20171219-094215-2.jpg,validation,3
20171113-115204-1.jpg,train,20171113-115125-1.jpg,test,2
20171203-164604-3.jpg,validation,20171203-164605-3.jpg,test,3
20171218-122019-3.jpg,train,20171218-121959-3.jpg,test,1
20171219-094017-3.jpg,train,20171219-094001-3.jpg,test,2
20180105-091524-3.jpg,train,20180105-091508-3.jpg,test,2
20180105-093909-3.jpg,validation,20180105-093850-3.jpg,test,2
20180105-095534-3.jpg,train,20180105-095611-3.jpg,test,1
20180105-095833-3.jpg,train,20180105-095816-3.jpg,test,4
20180112-072620-2.jpg,validation,20180112-072608-2.jpg,test,3
20180112-080657-2.jpg,train,20180112-080711-2.jpg,test,3
20180112-101020-2.jpg,train,20180112-101035-2.jpg,test,2
20180112-101317-2.jpg,train,20180112-101305-2.jpg,test,4
20180112-101728-2.jpg,validation,20180112-101743-2.jpg,test,2
20180119-105823-2.jpg,train,20180119-105825-2.jpg,test,3
20180119-110537-2.jpg,train,20180119-110526-2.jpg,test,2
20180119-113317-2.jpg,train,20180119-113326-2.jpg,test,1
20180119-115023-2.jpg,train,20180119-115013-2.jpg,test,4
20180125-091401-2.jpg,train,20180125-091410-2.jpg,test,1
20180125-092239-2.jpg,train,20180125-092250-2.jpg,test,1
20180125-092722-2.jpg,train,20180125-092739-2.jpg,test,3
20180125-093418-2.jpg,validation,20180125-093430-2.jpg,test,1
20180125-095851-2.jpg,train,20180125-095907-2.jpg,test,1
20180125-125818-2.jpg,validation,20180125-125831-2.jpg,test,3
